Workers,Accuracy
1,91.41
91.84
91.9
91.8
91.63
91.86
2,88.76
90.04
90.13
90.12
90.27
90.28
3,84.84
86.94
87.66
87.82
87.72
87.92
4,79.27
82.53
83.66
84.16
84.31
84.4
5,71.69
77.46
79.92
80.28
80.67
80.84
6,66.12
73.51
75.7
76.55
77.11
77.2
7,59.43
68.54
71.5
72.08
72.79
73.04
8,51.96
63.38
67.45
68.74
69.28
69.69
9,50.24
60.11
63.85
64.86
65.53
65.69
10,44.38
56.1
60.23
62.07
62.78
62.94
11,43.57
53.35
57.21
58.21
59.49
60.1
12,39.06
51.06
54.72
56.49
56.76
57.21
13,N/A
14,36.3
47.76
52.13
53.28
54.09
55.02
15,33.17
46.61
50.8
53.2
53.76
54.51
16,34.12
47.06
52.01
53.29
54.22
54.64
17,31.87
45.83
50.94
52.31
53.18
53.11
18,38.61
46.71
49.3
49.76
50.5
50.72
19,32.24
42.94
45.25
46.33
46.9
47.16
